Game Date,Location,Player 1,Side,Faction,ID,Archtype or Deckname,,Player 2,Side,Faction,ID,Archtype or Deckname,,Winner,Winner Tomthord (S/K/M),Player 1 Score,Player 2 Score,Winning Side,,Notes,Was it fun,What Could I of done better?,Why did a loose,,
15/01/2017,Brewhouse & Kitchen,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,Colin,Corp,Jinteki,Jinteki: Potential Unleashed,,,Colin,K,6,0,Corp,,One of each breakers is a danger. Kill DBS,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-FALSE-K
15/01/2017,Brewhouse & Kitchen,Tom,Corp,Wayland,Blue Sun: Powering the Future,Silver Sun (1.5),,Colin,Runner,Shaper,"Rielle ""Kit"" Peddler: Transhuman",Stupid Bird Deck Kit - 2nd at Philly SC,,Tom,K,4,3,Corp,,,,,,,Blue Sun: Powering the Future-Silver Sun (1.5)-Tom-K
15/01/2017,Brewhouse & Kitchen,Tom,Runner,Shaper,"Rielle ""Kit"" Peddler: Transhuman",(Colins)Stupid Bird Deck Kit - 2nd at Philly SC,,Zoe,Corp,Jinteki,Nisei Division: The Next Generation,Servant Psi,,Tom,S,7,0,Runner,,,,,,,"Rielle ""Kit"" Peddler: Transhuman-(Colins)Stupid Bird Deck Kit - 2nd at Philly SC-Tom-S"
15/01/2017,Brewhouse & Kitchen,Tom,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle 2.0,,Colin,Corp,Wayland,Blue Sun: Powering the Future,Psycho Sun,,Colin,K,3,0,Corp,,Sometimes don't worry about Temijin,,,,,Andromeda: Dispossessed Ristie-Takeshi's Castle 2.0-FALSE-K
15/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.2),,Greg,Corp,Haas-Bioroid,Haas-Bioroid: Architects of Tomorrow,54 card Biroid,,Tom,S,7,0,Runner,,F**ing first turn Scacity of Rescouces,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.2)-Tom-S
15/01/2017,Jinteki,Tom,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle 2.0,,Greg,Corp,Haas-Bioroid,Haas-Bioroid: Architects of Tomorrow,54 card Biroid,,Tom,S,7,0,Runner,,,,,,,Andromeda: Dispossessed Ristie-Takeshi's Castle 2.0-Tom-S
15/01/2017,Jinteki,Tom,Corp,Haas-Bioroid,Whizzard: Master Gamer,Papa Smuf (Worlds 2016),,Greg,Corp,Haas-Bioroid,Haas-Bioroid: Architects of Tomorrow,54 card Biroid,,Tom,S,7,0,Corp,,,,,,,Whizzard: Master Gamer-Papa Smuf (Worlds 2016)-Tom-S
15/01/2017,Jinteki,Tom,Corp,Wayland,Blue Sun: Powering the Future,Psycho Sun and Silver Moon (v0.1),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Magnus and Eater + Keyhole,,Tom,K,0,2,Corp,,,,,,,Blue Sun: Powering the Future-Psycho Sun and Silver Moon (v0.1)-Tom-K
15/01/2017,Jinteki,Tom,Corp,Wayland,Blue Sun: Powering the Future,Psycho Sun and Silver Moon (v0.1),,eadipus,Runner,Criminal,Andromeda: Dispossessed Ristie,"Rebirth, Conection and blackfile",,Tom,S,7,4,Corp,,Blackfile is an intresting card. Also Aaron is remove not avoid and draws cards,,,,,Blue Sun: Powering the Future-Psycho Sun and Silver Moon (v0.1)-Tom-S
16/01/2017,Jinteki,Tom,Corp,Jinteki,Jinteki: Replicating Perfection,Only spiky ICE is good ICE (eadipus Deck),,Hathrul,Runner,Shaper,"Kate ""Mac"" McCaffrey: Digital Tinker",Reavershop,,Tom,C,5,6,Corp,,Oppenent conceded with 2 cards left. I would of won via Bio Effecs,,,,,Jinteki: Replicating Perfection-Only spiky ICE is good ICE (eadipus Deck)-Tom-C
17/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.2),,Nemonix,Corp,NBN,Near-Earth Hub: Broadcast Center,Power Shutdown Combo,,Tom,C,4,3,Runner,,Oponent couldnt get Combo off,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.2)-Tom-C
17/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.1) (Anit SFIR),,ShutdownRunner,Runner,Criminal,Andromeda: Dispossessed Ristie,Ben Ni Deucs Wild Deck,,Tom,S,7,6,Corp,,Went back from 4-0. Opponet couldnt find Gordian. Very nice player,,,,,Gagarin Deep Space: Expanding the Horizon-SIBRB (v8.1) (Anit SFIR)-Tom-S
18/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.1) (Anit SFIR),,Janktivist,Runner,Shaper,"Kate ""Mac"" McCaffrey: Digital Tinker","SIFR, Parasite recusion + Atman",,Tom,S,7,6,Corp,,"More luck then judgment, runner could not find the agendas in R&D",,,,,Gagarin Deep Space: Expanding the Horizon-SIBRB (v8.1) (Anit SFIR)-Tom-S
19/01/2017,Home,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,Bill,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Jeeves biroid,,Bill,S,6,8,Corp,,Got locked out for cost and no clot. Normal HB issue,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-FALSE-S
19/01/2017,Jinteki,Tom,Corp,Jinteki,Jinteki: Replicating Perfection,Only spiky ICE is good ICE (eadipus Deck),,nightflower,Corp,Haas-Bioroid,Whizzard: Master Gamer,,,Tom,K,1,0,Corp,,Oppenent got carried away trashing things,,,,,Jinteki: Replicating Perfection-Only spiky ICE is good ICE (eadipus Deck)-Tom-K
20/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,YoMammaSoFat,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Asset Spam with Jeeves and HHN,,Tom,S,8,0,Runner,,Should never mulligan form a proco. Aaron is usful in many match ups,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.3)-Tom-S
20/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,SuperKick,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,54 Cards,,SuperKick,S,6,7,Corp,,Againts Asset spam mulligan for Temi not Proco. Also trash thing like trubile shooter,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.3)-FALSE-S
20/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,asdfghjkl,Corp,NBN,NBN: Controlling the Message,Looks like Worlds deck,,Tom,C,2,1,Runner,,Oppiontent disconected,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.3)-Tom-C
21/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.1) (Anit SFIR),,nbennet,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",CodeM Smoke w/Scubber and Dagger,,nbennet,S,2,8,Runner,,Shapers run index,,,,,#REF!
21/01/2017,Home,Tom,Corp,Jinteki,Jinteki: Potential Unleashed,Potatos,,Bill,Runner,Neutral,Sunny Lebeau: Security Specialist,,,Tom,K,6,4,Corp,,,,,,,Jinteki: Potential Unleashed-Potatos-Tom-K
22/01/2017,Home,Tom,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Sandvich,,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,S,8,0,Corp,,,,,,,Haas-Bioroid: Engineering the Future-Sandvich-Tom-S
22/01/2017,Home,Tom,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Sandvich,,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,S,7,4,Corp,,,,,,,Haas-Bioroid: Engineering the Future-Sandvich-Tom-S
22/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,Greg,Corp,Haas-Bioroid,Cybernetics Division: Humanity Upgraded,Brainstorm (Punitive & Brain Dam),,Greg,K,4,2,Corp,,Stay carlm with bad hand vs trap decks,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.3)-FALSE-K
22/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,Greg,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,Ronald 5,,Tom,S,7,4,Runner,,Take time,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.3)-Tom-S
22/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.3) (Anit SFIR),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Opus Key,,Tom,S,7,4,Corp,,When people don't trash it works,,,,,Gagarin Deep Space: Expanding the Horizon-SIBRB (v8.3) (Anit SFIR)-Tom-S
22/01/2017,Jinteki,Tom,Corp,Jinteki,Jinteki: Replicating Perfection,Only spiky ICE is good ICE (eadipus Deck),,Greg,Runner,Shaper,Nasir Tomidan: Cyber Explorer,Jessy,,Greg,S,3,8,Runner,,,,,,,Jinteki: Replicating Perfection-Only spiky ICE is good ICE (eadipus Deck)-FALSE-S
23/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.3) (Anit SFIR),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Opus Key,,Tom,S,7,4,Corp,,,,,,,
23/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,Greg,Corp,Wayland,GRNDL: Power Unleashed,Portsmouth SC Deck,,Greg,K,2,5,Corp,,,,,,,
23/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,Greg,Corp,Haas-Bioroid,Cybernetics Division: Humanity Upgraded,Brainstorm (Punitive & Brain Dam),,Greg,S,2,8,Corp,,,,,,,
23/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,Greg,Corp,Wayland,GRNDL: Power Unleashed,Portsmouth SC Deck,,Tom,S,7,3,Runner,,,,,,,
24/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.3) (Anit SFIR),,TheDestroyer,Runner,Anarch,Noise: Hacker Extraordinaire,Apoc and few Virus,,TheDestroyer,S,6,7,Runner,,"Be patiant, think",,,,,
24/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.3) (Anit SFIR),,leachrode,Runner,Criminal,Leela Patel: Trained Pragmatist,,,leachrode,S,5,8,Runner,,,,,,,
24/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.3),,leachrode,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Jammy HB,,leachrode,K,4,2,Corp,,,,,,,
26/01/2017,Home,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.2),,Bill,Runner,Neutral,Sunny Lebeau: Security Specialist,,,Tom,S,8,6,Corp,,,,,,,
27/01/2017,Jinteki,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.3),,Krachn,Runner,Neutral,Sunny Lebeau: Security Specialist,Power Tap Good stuff,,Krachn,S,4,8,Runner,,Need to rush more,,,,,
27/01/2017,Jinteki,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.3),,NorwebManu,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle 2.0,,Tom,C,2,4,Corp,,Draw as opponent had to go But had Op on the ropes,,,,,
27/01/2017,Jinteki,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.3),,Bousa,Runner,Anarch,Edward Kim: Humanity's Hammer,Temi + Conspricy Breackers,,Tom,S,7,6,Corp,,,,,,,
27/01/2017,Jinteki,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.3),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Opus Key,,Tom,S,7,6,Corp,,,,,,,
27/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork  w/SIFR (v0.7),,Greg,Corp,Wayland,GRNDL: Power Unleashed,Portsmouth SC Deck,,Tom,S,8,3,Runner,,Intresting deck not sure,,,,,
27/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.6)(54 Card),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Opus Key,,Tom,S,8,0,Corp,,,,,,,
27/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.5),,Greg,Corp,Haas-Bioroid,Cybernetics Division: Humanity Upgraded,Brainstorm (Punitive & Brain Dam),,Tom,S,8,2,Runner,,,,,,,
27/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.5),,Greg,Corp,Haas-Bioroid,Cybernetics Division: Humanity Upgraded,Brainstorm (Punitive & Brain Dam),,Tom,S,10,2,Runner,,,,,,,
27/01/2017,Jinteki,Tom,Runner,Neutral,Adam: Compulsive Hacker,A Bioroid no longer in London (v0.1),,Greg,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,Gregs Gagarin (v0.3),,Tom,S,12,2,Runner,,,,,,,
